Time,timestamp_ms,is_high_confidence,is_hand_tracking,bone_index,bone_name,position_x,position_y,position_z,orientation_x,orientation_y,orientation_z,orientation_w
1763351042.097425,1763351042096,True,True,0,base_link,-0.444118469953537,-0.2893680930137634,0.9313854426145554,-0.0010097888308220897,0.014268961749042863,0.10231172303443654,0.9946495304311194
1763351042.097425,1763351042096,True,True,1,zhead_1_link,-0.4814201891422272,-0.23107808828353876,0.8424049913883209,0.000658361923042139,0.00972795175295535,0.09092408247244134,0.9958100947172686
1763351042.097425,1763351042096,True,True,2,zhead_2_link,-0.45041072368621826,-0.3551312685012817,0.8388886451721191,-0.003908779966246446,-0.0005158496243270819,0.09033645755290727,0.9959034992282799
1763351042.097425,1763351042096,True,True,3,camera_base,-0.4800322353839874,-0.29283925890922546,1.047939121723175,-0.014322965081478014,0.02172664131188939,0.12374874669174578,0.9919723047650078
1763351042.097425,1763351042096,True,True,4,camera,-0.4844159483909607,-0.18633405864238728,0.46286171674728394,-0.00836483673777,-0.012728646031877384,0.030007004541489083,0.9994336349928357
1763351042.097425,1763351042096,True,True,5,zarm_l1_link,-0.44209855794906616,-0.40233460068702687,0.45526206493377686,-0.01002265505197114,0.02152698097876919,0.10890170847649874,0.9937688631500529
1763351042.097425,1763351042096,True,True,6,zarm_l2_link,-0.4469313621520996,-0.2758846879005432,1.1893988698720932,-0.009576406454969821,0.016511729459645647,0.11123898433927916,0.9936103580341875
1763351042.097425,1763351042096,True,True,7,zarm_l3_link,-0.5103887915611267,-0.21027630567550637,0.06726539134979248,-0.008169337559309044,0.014941859601265,0.08928732520938717,0.9958603196796484
1763351042.097425,1763351042096,True,True,8,zarm_l4_link,-0.49583661556243896,-0.40013593435287453,0.0633232593536377,0.02073384499172499,0.04050157317401526,0.061488458515400385,0.9970701578683864
1763351042.097425,1763351042096,True,True,9,zarm_l5_link,-0.4411132037639618,-0.27642256021499634,1.2516311556100845,-0.004752228998403609,-0.0012067976699774792,0.11235575839353955,0.9936559482611389
1763351042.097425,1763351042096,True,True,10,zarm_l6_link,-0.404159814119339,-0.1520310342311857,0.005576491355895996,-0.008154992902893678,0.014952273651173797,0.08932608124434589,0.9958568053756237
1763351042.097425,1763351042096,True,True,11,zarm_l7_link,-0.3772515058517456,-0.4153640270233152,-0.004624843597412109,0.020640111358019027,0.04059453830784104,0.061498111518706836,0.9970677266576903
1763351042.097425,1763351042096,True,True,12,zarm_r1_link,-0.47410210967063904,-0.2968998551368714,1.4713078141212463,0.0014103805703011283,0.08475754349642668,0.14642731944008425,0.9855826752579866
1763351042.097425,1763351042096,True,True,13,zarm_r2_link,-0.48048117756843567,-0.20275202393531805,1.3779818415641785,-0.02088930699854153,-0.003925283775541749,0.052840183858131724,0.99837675452218
1763351042.097425,1763351042096,True,True,14,zarm_r3_link,-0.44746002554893494,-0.3686675429344178,1.3751214146614075,0.008368400110199516,0.035695002023441565,0.20360131235281928,0.9783671817463788
1763351042.097425,1763351042096,True,True,15,zarm_r4_link,-0.4210148751735687,-0.2723098993301392,1.5353764295578003,-0.0048598186772791365,0.2731778658764852,0.19703325896760143,0.9415562280704214
1763351042.097425,1763351042096,True,True,16,zarm_r5_link,-0.5278045535087585,-0.09493747353553778,1.3628450632095337,0.06662706615411584,-0.02391245160135677,0.008854755755554403,0.99745206502098
1763351042.097425,1763351042096,True,True,17,zarm_r6_link,-0.42734429240226746,-0.4829342663288117,1.36641925573349,-0.06652275461834853,-0.01918653604791365,0.2590921042463772,0.9633679886054205
1763351042.097425,1763351042096,True,True,18,zarm_r7_link,-0.5391286611557007,-0.07447108626365662,1.0999814122915268,0.06569676033473056,-0.0728295407545012,-0.02735696613872758,0.9948021864062694
1763351042.097425,1763351042096,True,True,19,leg_l1_link,-0.4426521360874176,-0.5182947516441345,1.1089359670877457,-0.08689088443570643,-0.08630872074040964,0.2311020229318208,0.9651904651015544
1763351042.097425,1763351042096,True,True,20,leg_l3_link,-0.47483688592910767,-0.06136172264814371,0.8444829434156418,0.09158276268750408,-0.0926119094662533,-0.021556838384741695,0.9912471611673817
1763351042.097425,1763351042096,True,True,21,leg_l6_link,-0.3873898386955261,-0.5216898918151855,0.8745339810848235,-0.08719160328536893,-0.12011026277634264,0.208963399687451,0.966594768599224
1763351042.097425,1763351042096,True,True,22,leg_r1_link,-0.4741086959838867,-0.054998151957988684,0.7486259341239929,0.09158276263607912,-0.0926119173167826,-0.02155683047010493,0.9912471606107814
1763351042.097425,1763351042096,True,True,23,leg_r3_link,-0.3748333156108856,-0.5293077230453491,0.7784709930419921,-0.08719151325544744,-0.12011024960604413,0.20896334906146116,0.966594789301503
1763351042.097425,1763351042096,True,True,24,leg_r6_link,-0.0,-1.0,1.0,0.0,0.0,0.0,1.0
1763351042.1114802,1763351042110,True,True,0,base_link,-0.44412919878959656,-0.28916943073272705,0.9314022660255432,-0.0010174261346110882,0.014315932904761358,0.10245513110584098,0.994634085993041
1763351042.1114802,1763351042110,True,True,1,zhead_1_link,-0.4814559817314148,-0.23089203238487238,0.8424240499734879,0.0005804374216527576,0.0098004257045944,0.0911457536181923,0.9957891676182163
1763351042.1114802,1763351042110,True,True,2,zhead_2_link,-0.4504110515117645,-0.3549363613128662,0.8389074206352234,-0.00400380320566457,-0.00040750999643669744,0.09049979506783769,0.9958883424301003
1763351042.1114802,1763351042110,True,True,3,camera_base,-0.48003116250038147,-0.2926485538482666,1.047959342598915,-0.014262635540455927,0.021698847838494115,0.1239116067146709,0.9919534520083646
1763351042.1114802,1763351042110,True,True,4,camera,-0.48452118039131165,-0.18621161580085743,0.4628738760948181,-0.0084581256151261,-0.012727315853797088,0.030146968368553326,0.9994286547024864
1763351042.1114802,1763351042110,True,True,5,zarm_l1_link,-0.44216009974479675,-0.40221720933914173,0.4552890658378601,-0.010089121759876533,0.02143653296133642,0.109232112775475,0.9937338829965082
1763351042.1114802,1763351042110,True,True,6,zarm_l2_link,-0.44694074988365173,-0.27570202946662903,1.1894224882125854,-0.009420214531646542,0.016670423178465434,0.11137447128546489,0.9935940235806131
1763351042.1114802,1763351042110,True,True,7,zarm_l3_link,-0.5104870796203613,-0.21023632586002328,0.06728208065032959,-0.008234723473782348,0.014798745517773718,0.08937138321921165,0.9958543780703559
1763351042.1114802,1763351042110,True,True,8,zarm_l4_link,-0.4958266615867615,-0.40009322762489297,0.06334006786346436,0.02070189115793553,0.040435337294352426,0.06183626422444172,0.9970520004629357
1763351042.1114802,1763351042110,True,True,9,zarm_l5_link,-0.44110041856765747,-0.27625572681427,1.2516525387763977,-0.004543479093989113,-0.0011871111471161437,0.11252507299030394,0.9936377888915929
1763351042.1114802,1763351042110,True,True,10,zarm_l6_link,-0.4042499363422394,-0.15197899937629678,0.005618453025817871,-0.008220427425320977,0.01480720241327745,0.0894108090058986,0.9958508314815769
1763351042.1114802,1763351042110,True,True,11,zarm_l7_link,-0.37722086906433105,-0.41524061560630776,-0.0045899152755737305,0.020607944196000202,0.040527644809612,0.061846230893480514,0.9970495806962013
1763351042.1114802,1763351042110,True,True,12,zarm_r1_link,-0.47406309843063354,-0.29683426022529613,1.4713236093521118,0.0015363526539877727,0.08499426068998751,0.14678672476911372,0.9855086365435067
1763351042.1114802,1763351042110,True,True,13,zarm_r2_link,-0.48048245906829834,-0.202650398015976,1.3780368268489838,-0.020681727005162298,-0.0038959424640009482,0.05301043801195782,0.9983721657088511
1763351042.1114802,1763351042110,True,True,14,zarm_r3_link,-0.44740501046180725,-0.3685534596443177,1.3751055002212524,0.00857171509321647,0.03569754228033498,0.20377499586823472,0.9783291686515359
1763351042.1114802,1763351042110,True,True,15,zarm_r4_link,-0.42096033692359924,-0.27222204208374035,1.5353707671165466,-0.004834164481392843,0.2731156395362316,0.19758788085292386,0.9414581815643926
1763351042.1114802,1763351042110,True,True,16,zarm_r5_link,-0.527811586856842,-0.09483692049980169,1.36291041970253,0.06684874813798139,-0.024130843606951165,0.008599616731059415,0.9974342052743532
1763351042.1114802,1763351042110,True,True,17,zarm_r6_link,-0.4271988868713379,-0.4827956855297089,1.3662918210029602,-0.06637340835991248,-0.019642160437754883,0.25954409970396136,0.963247432648998
1763351042.1114802,1763351042110,True,True,18,zarm_r7_link,-0.5390200018882751,-0.07424366474151611,1.100051760673523,0.06584489877795492,-0.07321215907443461,-0.028081292655659507,0.9947441229137108
