sample_id,joint_name,position
0,zhead_1_joint,0.023449439771742842
0,zhead_2_joint,-0.0040646973512874071
0,waist_yaw_joint,-0.0014742002303900275
0,zarm_r1_joint,-0.66241388550110469
0,zarm_r2_joint,0.15899768511435977
0,zarm_r3_joint,0.16059650040868195
0,zarm_r4_joint,-1.3784610111807543
0,zarm_r5_joint,0.45831353995490082
0,zarm_r6_joint,-0.0015328867174162603
0,zarm_r7_joint,-0.002919664901965996
0,zarm_l1_joint,-0.67566335185290038
0,zarm_l2_joint,-0.15562032595223455
0,zarm_l3_joint,-0.16070931242028033
0,zarm_l4_joint,-1.3786162508420425
0,zarm_l5_joint,-0.45669037860920564
0,zarm_l6_joint,0.0047766543312570122
0,zarm_l7_joint,-0.0041899889869987262
1,zhead_1_joint,0.023449439771742842
1,zhead_2_joint,-0.0040646973512874071
1,waist_yaw_joint,-0.0023779078764825544
1,zarm_r1_joint,-0.88328865987024463
1,zarm_r2_joint,-0.19882735992752898
1,zarm_r3_joint,0.88349197467930607
1,zarm_r4_joint,-1.392957810834262
1,zarm_r5_joint,0.032586837171445768
1,zarm_r6_joint,-0.39941057131303986
1,zarm_r7_joint,-0.0029218951170349294
1,zarm_l1_joint,-0.89730113113235466
1,zarm_l2_joint,0.18999548549179532
1,zarm_l3_joint,-0.88017120153657058
1,zarm_l4_joint,-1.3954006159660608
1,zarm_l5_joint,-0.029052317033109398
1,zarm_l6_joint,0.40494488947623836
1,zarm_l7_joint,-0.0041879667877202688
2,zhead_1_joint,0.023449439771742842
2,zhead_2_joint,-0.0040646973512874071
2,waist_yaw_joint,-0.0033041915721940015
2,zarm_r1_joint,-1.1198027634196441
2,zarm_r2_joint,-0.44030213729998374
2,zarm_r3_joint,1.2073947056462346
2,zarm_r4_joint,-1.395245523981683
2,zarm_r5_joint,-0.039893512609773869
2,zarm_r6_joint,-0.50851353738683591
2,zarm_r7_joint,0.14127749768096698
2,zarm_l1_joint,-1.1322901920761494
2,zarm_l2_joint,0.43681185736193301
2,zarm_l3_joint,-1.205952220795061
2,zarm_l4_joint,-1.395400456129499
2,zarm_l5_joint,0.043425352412636162
2,zarm_l6_joint,0.51252200651503221
2,zarm_l7_joint,0.13886539006454418
3,zhead_1_joint,0.023449439771742842
3,zhead_2_joint,-0.0040646973512874071
3,waist_yaw_joint,-0.0034612959687432806
3,zarm_r1_joint,-0.71467523693534596
3,zarm_r2_joint,-0.057300794315876147
3,zarm_r3_joint,0.52643145865138763
3,zarm_r4_joint,-1.4177531231079996
3,zarm_r5_joint,0.16381372935464922
3,zarm_r6_joint,-0.28382418309908258
3,zarm_r7_joint,-0.16580884701077148
3,zarm_l1_joint,-0.71304787163208305
3,zarm_l2_joint,0.060677501165927718
3,zarm_l3_joint,-0.52349226708938301
3,zarm_l4_joint,-1.4201971984333832
3,zarm_l5_joint,-0.16333618418592594
3,zarm_l6_joint,0.28515716047916434
3,zarm_l7_joint,-0.16707847054530797
4,zhead_1_joint,0.023449439771742842
4,zhead_2_joint,-0.0040646973512874071
4,waist_yaw_joint,-0.0034064002249056648
4,zarm_r1_joint,-1.0595305357667277
4,zarm_r2_joint,-0.049671044692285816
4,zarm_r3_joint,0.49324166373290129
4,zarm_r4_joint,-0.77038955029716316
4,zarm_r5_joint,0.05204281904173666
4,zarm_r6_joint,0.031654266250391187
4,zarm_r7_joint,-0.43284159037273806
4,zarm_l1_joint,-1.0685836293499522
4,zarm_l2_joint,0.051903833976144738
4,zarm_l3_joint,-0.48992188377329987
4,zarm_l4_joint,-0.77130662459232213
4,zarm_l5_joint,-0.050036053159929018
4,zarm_l6_joint,-0.027648758925732261
4,zarm_l7_joint,-0.43487562482972497
5,zhead_1_joint,0.023449439771742842
5,zhead_2_joint,-0.0040646973512874071
5,waist_yaw_joint,-0.0034480626757040183
5,zarm_r1_joint,-1.0976777361361043
5,zarm_r2_joint,0.25360344423599823
5,zarm_r3_joint,-0.2704721918776955
5,zarm_r4_joint,-0.86079990040178578
5,zarm_r5_joint,0.87564978486363187
5,zarm_r6_joint,0.39062497363929033
5,zarm_r7_joint,-0.29512961494839268
5,zarm_l1_joint,-1.1055869567295438
5,zarm_l2_joint,-0.25327806951077969
5,zarm_l3_joint,0.27150299054797755
5,zarm_l4_joint,-0.8609523247426808
5,zarm_l5_joint,-0.87211574225779198
5,zarm_l6_joint,-0.38852609883409495
5,zarm_l7_joint,-0.2925829133355819
6,zhead_1_joint,0.023449439771742842
6,zhead_2_joint,-0.0040646973512874071
6,waist_yaw_joint,-0.0034044002672773215
6,zarm_r1_joint,-0.87337045904431421
6,zarm_r2_joint,-0.082096480757969395
6,zarm_r3_joint,0.27961659937207123
6,zarm_r4_joint,-1.423094391485255
6,zarm_r5_joint,0.28436165732881541
6,zarm_r6_joint,0.26626379881849038
6,zarm_r7_joint,0.12296776351706036
6,zarm_l1_joint,-0.87250431702344511
6,zarm_l2_joint,0.073646704349028383
6,zarm_l3_joint,-0.27972942256148947
6,zarm_l4_joint,-1.4282080677890514
6,zarm_l5_joint,-0.28082738198905555
6,zarm_l6_joint,-0.26301963275863305
6,zarm_l7_joint,0.12017121376307432
7,zhead_1_joint,0.023449439771742842
7,zhead_2_joint,-0.0040646973512874071
7,waist_yaw_joint,-0.0033557584266715209
7,zarm_r1_joint,-0.94813852684104605
7,zarm_r2_joint,-0.12405889880245541
7,zarm_r3_joint,0.33035052422581423
7,zarm_r4_joint,-1.0683214897090509
7,zarm_r5_joint,0.94698352246507023
7,zarm_r6_joint,0.2849561124031082
7,zarm_r7_joint,-0.34319363493140553
7,zarm_l1_joint,-0.95757378055678577
7,zarm_l2_joint,0.12094911101104568
7,zarm_l3_joint,-0.33008386323962136
7,zarm_l4_joint,-1.0680948358872424
7,zarm_l5_joint,-0.94307285066582414
7,zarm_l6_joint,-0.28362064139649767
7,zarm_l7_joint,-0.34522622116388679
8,zhead_1_joint,0.023449439771742842
8,zhead_2_joint,-0.0040646973512874071
8,waist_yaw_joint,-0.0034313501610974784
8,zarm_r1_joint,-1.3357177173815067
8,zarm_r2_joint,0.0098392942389022298
8,zarm_r3_joint,0.33340355622616719
8,zarm_r4_joint,-0.44499139651091796
8,zarm_r5_joint,0.89700870861555904
8,zarm_r6_joint,0.27122318932583894
8,zarm_r7_joint,-0.59382405337900368
8,zarm_l1_joint,-1.3382873056637996
8,zarm_l2_joint,-0.011423222395042726
8,zarm_l3_joint,-0.33084677840743199
8,zarm_l4_joint,-0.44628971759707919
8,zarm_l5_joint,-0.89462203721171918
8,zarm_l6_joint,-0.27026575044788842
8,zarm_l7_joint,-0.59585669994449075
