timestamp,checkerboard_px,checkerboard_py,checkerboard_pz,checkerboard_qx,checkerboard_qy,checkerboard_qz,checkerboard_qw,torso_px,torso_py,torso_pz,torso_qx,torso_qy,torso_qz,torso_qw,l_shoulder_px,l_shoulder_py,l_shoulder_pz,l_shoulder_qx,l_shoulder_qy,l_shoulder_qz,l_shoulder_qw
1782290084.620227,913.97029,226.10743,1140.3028,-0.64180439,0.62177991,-0.31803697,0.31674811,-281.88291,-49.407937,970.86662,0.010423989,0.013867036,0.0073109706,0.99982278,-401.63273,187.75956,1305.7311,0.015335284,0.005513534,0.0074003719,0.99983982
1782290084.630232,913.97029,226.10743,1140.3028,-0.64180439,0.62177991,-0.31803697,0.31674811,-281.88291,-49.407937,970.86662,0.010423989,0.013867036,0.0073109706,0.99982278,-401.63273,187.75956,1305.7311,0.015335284,0.005513534,0.0074003719,0.99983982
1782290084.640238,913.97029,226.10743,1140.3028,-0.64180439,0.62177991,-0.31803697,0.31674811,-281.88291,-49.407937,970.86662,0.010423989,0.013867036,0.0073109706,0.99982278,-401.63273,187.75956,1305.7311,0.015335284,0.005513534,0.0074003719,0.99983982
1782290084.650237,913.97029,226.10743,1140.3028,-0.64180439,0.62177991,-0.31803697,0.31674811,-281.88291,-49.407937,970.86662,0.010423989,0.013867036,0.0073109706,0.99982278,-401.63273,187.75956,1305.7311,0.015335284,0.005513534,0.0074003719,0.99983982
1782290084.660266,913.97125,226.10508,1140.3161,-0.64181089,0.62178849,-0.31802514,0.31672996,-281.83731,-49.383499,970.90042,0.010295812,0.013998412,0.0072498335,0.99982272,-401.63827,187.73849,1305.7282,0.015336369,0.0055031968,0.0073882457,0.99983995
1782290084.670245,913.95962,226.09936,1140.3215,-0.64180822,0.6217732,-0.31802607,0.31676445,-281.85216,-49.385078,970.90352,0.01033124,0.013962079,0.0071967326,0.99982325,-401.62909,187.73258,1305.7243,0.015345822,0.0054208976,0.0074329872,0.99983992
1782290084.680261,913.95962,226.09936,1140.3215,-0.64180822,0.6217732,-0.31802607,0.31676445,-281.85216,-49.385078,970.90352,0.01033124,0.013962079,0.0071967326,0.99982325,-401.62909,187.73258,1305.7243,0.015345822,0.0054208976,0.0074329872,0.99983992
1782290084.690269,913.97142,226.10763,1140.318,-0.64181305,0.62178011,-0.31802518,0.31674201,-281.8616,-49.390689,970.90524,0.010310818,0.013929744,0.0073784267,0.99982259,-401.63204,187.72134,1305.7173,0.015275426,0.0054611032,0.0074261011,0.99984083
1782290084.700251,913.97142,226.10763,1140.318,-0.64181305,0.62178011,-0.31802518,0.31674201,-281.8616,-49.390689,970.90524,0.010310818,0.013929744,0.0073784267,0.99982259,-401.63204,187.72134,1305.7173,0.015275426,0.0054611032,0.0074261011,0.99984083
1782290084.710235,913.97142,226.10763,1140.318,-0.64181305,0.62178011,-0.31802518,0.31674201,-281.8616,-49.390689,970.90524,0.010310818,0.013929744,0.0073784267,0.99982259,-401.63204,187.72134,1305.7173,0.015275426,0.0054611032,0.0074261011,0.99984083
