timestamp,checkerboard_px,checkerboard_py,checkerboard_pz,checkerboard_qx,checkerboard_qy,checkerboard_qz,checkerboard_qw,torso_px,torso_py,torso_pz,torso_qx,torso_qy,torso_qz,torso_qw,l_shoulder_px,l_shoulder_py,l_shoulder_pz,l_shoulder_qx,l_shoulder_qy,l_shoulder_qz,l_shoulder_qw
1782294839.877823,913.24371,226.32454,1141.0182,-0.64181436,0.62210287,-0.31670919,0.31742344,-282.52625,-48.739977,971.20184,0.012057508,0.013911703,0.0079309651,0.99979907,-402.19972,187.08572,1306.9704,0.017548161,0.0055761851,0.0087869302,0.99979186
1782294839.887923,913.24371,226.32454,1141.0182,-0.64181436,0.62210287,-0.31670919,0.31742344,-282.52625,-48.739977,971.20184,0.012057508,0.013911703,0.0079309651,0.99979907,-402.19972,187.08572,1306.9704,0.017548161,0.0055761851,0.0087869302,0.99979186
1782294839.897900,913.24371,226.32454,1141.0182,-0.64181436,0.62210287,-0.31670919,0.31742344,-282.52625,-48.739977,971.20184,0.012057508,0.013911703,0.0079309651,0.99979907,-402.19972,187.08572,1306.9704,0.017548161,0.0055761851,0.0087869302,0.99979186
1782294839.907907,913.24371,226.32454,1141.0182,-0.64181436,0.62210287,-0.31670919,0.31742344,-282.52625,-48.739977,971.20184,0.012057508,0.013911703,0.0079309651,0.99979907,-402.19972,187.08572,1306.9704,0.017548161,0.0055761851,0.0087869302,0.99979186
1782294839.917909,913.24246,226.3388,1141.0401,-0.64181406,0.62212027,-0.31668133,0.31741774,-282.52789,-48.723586,971.19814,0.012147452,0.013833521,0.0075314267,0.99980216,-402.18911,187.09157,1306.9849,0.017544643,0.0056448827,0.0087625249,0.99979175
1782294839.927905,913.24246,226.3388,1141.0401,-0.64181406,0.62212027,-0.31668133,0.31741774,-282.52789,-48.723586,971.19814,0.012147452,0.013833521,0.0075314267,0.99980216,-402.18911,187.09157,1306.9849,0.017544643,0.0056448827,0.0087625249,0.99979175
1782294839.937908,913.24246,226.3388,1141.0401,-0.64181406,0.62212027,-0.31668133,0.31741774,-282.52789,-48.723586,971.19814,0.012147452,0.013833521,0.0075314267,0.99980216,-402.18911,187.09157,1306.9849,0.017544643,0.0056448827,0.0087625249,0.99979175
1782294839.947906,913.24246,226.3388,1141.0401,-0.64181406,0.62212027,-0.31668133,0.31741774,-282.52789,-48.723586,971.19814,0.012147452,0.013833521,0.0075314267,0.99980216,-402.18911,187.09157,1306.9849,0.017544643,0.0056448827,0.0087625249,0.99979175
1782294839.957905,913.24246,226.3388,1141.0401,-0.64181406,0.62212027,-0.31668133,0.31741774,-282.52789,-48.723586,971.19814,0.012147452,0.013833521,0.0075314267,0.99980216,-402.18911,187.09157,1306.9849,0.017544643,0.0056448827,0.0087625249,0.99979175
1782294839.967904,913.24246,226.3388,1141.0401,-0.64181406,0.62212027,-0.31668133,0.31741774,-282.52789,-48.723586,971.19814,0.012147452,0.013833521,0.0075314267,0.99980216,-402.18911,187.09157,1306.9849,0.017544643,0.0056448827,0.0087625249,0.99979175
1782294839.977897,913.24246,226.3388,1141.0401,-0.64181406,0.62212027,-0.31668133,0.31741774,-282.52789,-48.723586,971.19814,0.012147452,0.013833521,0.0075314267,0.99980216,-402.18911,187.09157,1306.9849,0.017544643,0.0056448827,0.0087625249,0.99979175
