sample_id,sensor_name,feature_idx,frame_id,x,y,z
0,camera_to_base,0,head_camera_color_optical_frame,-0.15302480709585098,-0.14141611499553852,0.96284766906651087
0,camera_to_base,1,head_camera_color_optical_frame,-0.12303518034975898,-0.14192542261799673,0.9634500753876839
0,camera_to_base,2,head_camera_color_optical_frame,-0.093045553603666981,-0.14243473024045494,0.96405248170885693
0,camera_to_base,3,head_camera_color_optical_frame,-0.063055926857574968,-0.14294403786291315,0.96465488803002997
0,camera_to_base,4,head_camera_color_optical_frame,-0.033066300111482969,-0.14345334548537136,0.965257294351203
0,camera_to_base,5,head_camera_color_optical_frame,-0.0030766733653909695,-0.1439626531078296,0.96585970067237603
0,camera_to_base,6,head_camera_color_optical_frame,0.026912953380701043,-0.14447196073028781,0.96646210699354906
0,camera_to_base,7,head_camera_color_optical_frame,0.056902580126793029,-0.14498126835274602,0.96706451331472221
0,camera_to_base,8,head_camera_color_optical_frame,0.086892206872885042,-0.14549057597520423,0.96766691963589524
0,camera_to_base,9,head_camera_color_optical_frame,0.11688183361897708,-0.14599988359766244,0.96826932595706827
0,camera_to_base,10,head_camera_color_optical_frame,0.14687146036506904,-0.14650919122012065,0.9688717322782413
0,camera_to_base,11,head_camera_color_optical_frame,-0.15248842061217976,-0.11145220490064189,0.96147785836240351
0,camera_to_base,12,head_camera_color_optical_frame,-0.12249879386608778,-0.1119615125231001,0.96208026468357655
0,camera_to_base,13,head_camera_color_optical_frame,-0.092509167119995767,-0.11247082014555833,0.96268267100474958
0,camera_to_base,14,head_camera_color_optical_frame,-0.062519540373903768,-0.11298012776801654,0.96328507732592272
0,camera_to_base,15,head_camera_color_optical_frame,-0.032529913627811768,-0.11348943539047475,0.96388748364709576
0,camera_to_base,16,head_camera_color_optical_frame,-0.0025402868817197555,-0.11399874301293297,0.96448988996826879
0,camera_to_base,17,head_camera_color_optical_frame,0.02744933986437223,-0.11450805063539118,0.96509229628944182
0,camera_to_base,18,head_camera_color_optical_frame,0.057438966610464243,-0.11501735825784939,0.96569470261061485
0,camera_to_base,19,head_camera_color_optical_frame,0.087428593356556228,-0.11552666588030761,0.96629710893178788
0,camera_to_base,20,head_camera_color_optical_frame,0.1174182201026483,-0.11603597350276582,0.96689951525296092
0,camera_to_base,21,head_camera_color_optical_frame,0.14740784684874025,-0.11654528112522404,0.96750192157413395
0,camera_to_base,22,head_camera_color_optical_frame,-0.15195203412850858,-0.081488294805745265,0.96010804765829627
0,camera_to_base,23,head_camera_color_optical_frame,-0.12196240738241657,-0.081997602428203489,0.9607104539794693
0,camera_to_base,24,head_camera_color_optical_frame,-0.091972780636324566,-0.0825069100506617,0.96131286030064234
0,camera_to_base,25,head_camera_color_optical_frame,-0.061983153890232567,-0.083016217673119924,0.96191526662181537
0,camera_to_base,26,head_camera_color_optical_frame,-0.031993527144140568,-0.083525525295578135,0.9625176729429884
0,camera_to_base,27,head_camera_color_optical_frame,-0.0020039003980485692,-0.084034832918036345,0.96312007926416143
0,camera_to_base,28,head_camera_color_optical_frame,0.027985726348043444,-0.084544140540494556,0.96372248558533447
0,camera_to_base,29,head_camera_color_optical_frame,0.057975353094135457,-0.085053448162952766,0.9643248919065075
0,camera_to_base,30,head_camera_color_optical_frame,0.087964979840227442,-0.085562755785410977,0.96492729822768053
0,camera_to_base,31,head_camera_color_optical_frame,0.11795460658631945,-0.086072063407869201,0.96552970454885356
0,camera_to_base,32,head_camera_color_optical_frame,0.14794423333241147,-0.086581371030327411,0.96613211087002659
0,camera_to_base,33,head_camera_color_optical_frame,-0.15141564764483736,-0.05152438471084865,0.95873823695418892
0,camera_to_base,34,head_camera_color_optical_frame,-0.12142602089874537,-0.052033692333306861,0.95934064327536195
0,camera_to_base,35,head_camera_color_optical_frame,-0.091436394152653366,-0.052542999955765085,0.95994304959653498
0,camera_to_base,36,head_camera_color_optical_frame,-0.061446767406561353,-0.053052307578223296,0.96054545591770801
0,camera_to_base,37,head_camera_color_optical_frame,-0.031457140660469354,-0.053561615200681506,0.96114786223888105
0,camera_to_base,38,head_camera_color_optical_frame,-0.0014675139143773552,-0.054070922823139717,0.96175026856005408
0,camera_to_base,39,head_camera_color_optical_frame,0.028522112831714658,-0.054580230445597941,0.96235267488122711
0,camera_to_base,40,head_camera_color_optical_frame,0.058511739577806643,-0.055089538068056151,0.96295508120240025
0,camera_to_base,41,head_camera_color_optical_frame,0.088501366323898656,-0.055598845690514362,0.96355748752357329
0,camera_to_base,42,head_camera_color_optical_frame,0.11849099306999067,-0.056108153312972572,0.96415989384474632
0,camera_to_base,43,head_camera_color_optical_frame,0.14848061981608263,-0.056617460935430797,0.96476230016591935
0,camera_to_base,44,head_camera_color_optical_frame,-0.15087926116116615,-0.021560474615952022,0.95736842625008156
0,camera_to_base,45,head_camera_color_optical_frame,-0.12088963441507417,-0.022069782238410232,0.95797083257125459
0,camera_to_base,46,head_camera_color_optical_frame,-0.090900007668982152,-0.022579089860868456,0.95857323889242774
