sample_id,joint_name,position
0,zarm_r1_joint,0.0021715415529599668
0,zarm_r2_joint,0.001159094761095693
0,zarm_r3_joint,-0.005573322535553947
0,zarm_r4_joint,-0.011826040899927958
0,zarm_r5_joint,-0.00064239470932985323
0,zarm_r6_joint,0.008359840650105331
0,zarm_r7_joint,0.00041359003786178898
0,waist_yaw_joint,-0.0028453292135057801
0,zhead_1_joint,0.020577887967068036
0,zhead_2_joint,-0.019049349326667433
0,zarm_l1_joint,0.001015087371760626
0,zarm_l2_joint,-0.0015404595187802344
0,zarm_l3_joint,0.016283134263593329
0,zarm_l4_joint,-0.016785508994925993
0,zarm_l5_joint,0.00026032934539774302
0,zarm_l6_joint,-0.0018750882920145352
0,zarm_l7_joint,2.4940888016217456e-05
1,zarm_r1_joint,0.0021993245300989343
1,zarm_r2_joint,0.00115936981275098
1,zarm_r3_joint,-0.0056020213447405811
1,zarm_r4_joint,-0.011443234993554725
1,zarm_r5_joint,-0.00064370408693962568
1,zarm_r6_joint,0.0083622101529404608
1,zarm_r7_joint,0.00041268307422523106
1,waist_yaw_joint,-0.0028819084548543017
1,zhead_1_joint,0.16287011866078152
1,zhead_2_joint,-0.21817997817229406
1,zarm_l1_joint,0.00097279981262439203
1,zarm_l2_joint,-0.0015413836152387552
1,zarm_l3_joint,0.016284399291726499
1,zarm_l4_joint,-0.016784861435310376
1,zarm_l5_joint,0.00026053879788717066
1,zarm_l6_joint,-0.0018737797890505115
1,zarm_l7_joint,2.6625660697434144e-05
2,zarm_r1_joint,0.0021612282710939102
2,zarm_r2_joint,0.0011580599940738089
2,zarm_r3_joint,-0.0052210771474612751
2,zarm_r4_joint,-0.011443491716247114
2,zarm_r5_joint,-0.00064333300609976897
2,zarm_r6_joint,0.0083621388577561438
2,zarm_r7_joint,0.0004136836183234412
2,waist_yaw_joint,-0.0027897142950595354
2,zhead_1_joint,-0.20792212552259354
2,zhead_2_joint,-0.21856106766181868
2,zarm_l1_joint,0.00093381925597710855
2,zarm_l2_joint,0.001129288858844033
2,zarm_l3_joint,0.016282412351245255
2,zarm_l4_joint,-0.016784723569666326
2,zarm_l5_joint,0.0006404965262037435
2,zarm_l6_joint,-0.0018745419548787032
2,zarm_l7_joint,2.486336778080652e-05
3,zarm_r1_joint,0.0021958778705199748
3,zarm_r2_joint,0.0011586263949779783
3,zarm_r3_joint,-0.0056026266402514182
3,zarm_r4_joint,-0.011443522227060278
3,zarm_r5_joint,-0.00064376070461185742
3,zarm_r6_joint,0.0083620108848560665
3,zarm_r7_joint,0.00041224402724775373
3,waist_yaw_joint,-0.0029011423308720405
3,zhead_1_joint,-0.19647817844778584
3,zhead_2_joint,-0.30782899509184453
3,zarm_l1_joint,0.0010959446517612927
3,zarm_l2_joint,0.0011297340333205235
3,zarm_l3_joint,0.016283058208719583
3,zarm_l4_joint,-0.016784675832247024
3,zarm_l5_joint,0.00026342775318309364
3,zarm_l6_joint,-0.0018737873889046986
3,zarm_l7_joint,3.1180292550288054e-05
4,zarm_r1_joint,0.0021901250478017671
4,zarm_r2_joint,0.0011587058112876684
